stars,dominant_topic,count
1,0,58
1,1,143
1,2,177
1,3,95
1,4,79
1,5,69
2,0,57
2,1,105
2,2,51
2,3,69
2,4,22
2,5,41
3,0,94
3,1,229
3,2,40
3,3,121
3,4,27
3,5,44
4,0,8
4,1,15
4,2,1
4,3,12
4,4,2
4,5,4
5,0,4
5,1,6
5,2,1
5,3,6
5,4,3
5,5,1
